Generation,phylogenetic_diversity,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness
3570,70841,2209.51,1,5022,5.17914e+06,-1,-1,-1,0
3580,71177,2174.97,1,5035,4.99364e+06,-1,-1,-1,0
3590,71600,2229.86,1,5053,5.25742e+06,-1,-1,-1,0
3600,71641,2344.43,1,5065,5.13309e+06,-1,-1,-1,0
3610,71991,2128.82,1,5077,5.00504e+06,-1,-1,-1,0
3620,72422,2167.31,1,5095,5.13481e+06,-1,-1,-1,0
3630,72756,2293.98,1,5107,5.2393e+06,-1,-1,-1,0
3640,73172,2346.42,1,5121,5.29884e+06,-1,-1,-1,0
3650,73483,2373.49,1,5134,5.35329e+06,-1,-1,-1,0
3660,73807,2230.33,1,5145,5.32845e+06,-1,-1,-1,0
3670,72331,2031.75,1,5162,5.12534e+06,-1,-1,-1,0
3680,72701,2107.59,1,5178,5.23511e+06,-1,-1,-1,0
3690,72992,2132.42,1,5192,5.37995e+06,-1,-1,-1,0
3700,73071,2228.99,1,5210,5.43804e+06,-1,-1,-1,0
3710,72501,2312.03,1,5225,5.60375e+06,-1,-1,-1,0
3720,72769,2391.71,1,5242,5.59231e+06,-1,-1,-1,0
3730,72968,2371.47,1,5257,5.56736e+06,-1,-1,-1,0
3740,73375,2262.29,1,5266,5.52934e+06,-1,-1,-1,0
3750,73386,2217.75,1,5282,5.27305e+06,-1,-1,-1,0
3760,73795,2280.32,1,5296,5.75626e+06,-1,-1,-1,0
3770,74134,2420.19,1,5313,5.69938e+06,-1,-1,-1,0
3780,74550,2050.44,1,5327,5.46157e+06,-1,-1,-1,0
3790,73847,2202.15,1,5332,5.76692e+06,-1,-1,-1,0
3800,74188,2221.28,1,5348,5.717e+06,-1,-1,-1,0
3810,74157,2396.48,1,5362,5.90309e+06,-1,-1,-1,0
3820,74470,2360.89,1,5376,5.85748e+06,-1,-1,-1,0
3830,74812,2298.17,1,5391,5.87273e+06,-1,-1,-1,0
3840,75051,2550.06,1,5407,5.90714e+06,-1,-1,-1,0
3850,75313,2363.02,1,5424,5.9929e+06,-1,-1,-1,0
3860,75677,2254.33,1,5435,5.86711e+06,-1,-1,-1,0
3870,75738,2360.08,1,5450,6.03812e+06,-1,-1,-1,0
3880,76156,2408.01,1,5466,6.19085e+06,-1,-1,-1,0
3890,76263,2451.73,1,5479,6.27366e+06,-1,-1,-1,0
3900,76643,2288.69,1,5493,6.07865e+06,-1,-1,-1,0
3910,76872,2376.3,1,5508,6.02706e+06,-1,-1,-1,0
3920,77020,2373.2,1,5522,6.07371e+06,-1,-1,-1,0
3930,77220,2267.73,1,5535,6.07882e+06,-1,-1,-1,0
3940,77455,2419.31,1,5549,6.23907e+06,-1,-1,-1,0
3950,77917,2270.39,1,5565,6.11829e+06,-1,-1,-1,0
3960,78364,2320.08,1,5580,6.15404e+06,-1,-1,-1,0
3970,78482,2454.65,1,5590,6.30161e+06,-1,-1,-1,0
3980,78713,2340.09,1,5605,6.40224e+06,-1,-1,-1,0
3990,77981,2401.91,1,5622,6.41751e+06,-1,-1,-1,0
4000,78187,2290.24,1,5636,6.32783e+06,-1,-1,-1,0
4010,78517,2389.5,1,5650,6.40539e+06,-1,-1,-1,0
4020,78802,2461.64,1,5666,6.49121e+06,-1,-1,-1,0
4030,79111,2545.23,1,5682,6.4557e+06,-1,-1,-1,0
4040,78793,2397.38,1,5697,6.4757e+06,-1,-1,-1,0
4050,78961,2411.67,1,5711,6.88435e+06,-1,-1,-1,0
4060,79330,2494.56,1,5724,6.64554e+06,-1,-1,-1,0
4070,79501,2619.53,1,5736,6.59518e+06,-1,-1,-1,0
4080,79915,2379.03,1,5750,6.52971e+06,-1,-1,-1,0
4090,80287,2457.05,1,5765,6.72747e+06,-1,-1,-1,0
4100,80594,2221.1,1,5777,6.66208e+06,-1,-1,-1,0
4110,80877,2426.4,1,5789,6.77531e+06,-1,-1,-1,0
4120,81237,2726.78,1,5801,6.83895e+06,-1,-1,-1,0
4130,81650,2460.05,1,5814,6.95359e+06,-1,-1,-1,0
4140,80151,2536.46,1,5827,7.03966e+06,-1,-1,-1,0
